start	end	text
0	5840	Сьогодні я покажу вам, як вчать жіпіті можна перетворити на реальний навчальний інструмент, а не просто на перекладач.
6700	14380	І сьогодні я буду говорити не загально, а буду використовувати такі прям конкретні промти і запити, які ви так розможете відтворити.
14920	20840	Для прикладу, сьогодні я буду показувати все це на лінії А1, але це відео не лише для початківців.
20960	25500	Ви зможете собі адаптувати це все також, бо ми будемо будувати прям систему навчання.
25500	33500	А готові промти для свого рівня ви зможете знайти у закріпленому коментарі під Синдітоу в моєму телеграм-каналі.
33520	39160	І наш перший крок – це база. Вам потрібно достеменно знати, який рівень адвіцької у вас є зараз.
39380	43180	Тобто не окей написати у мене щось ніж А2 або Б1.
43740	49500	Потрібно знати ваш чіткий рівень, бо тоді ЧАДДПТ не зможе скласти програму конкретно під вас.
49940	52960	Буде або щось за дуже легке, або за важке навпаки.
52960	61140	І на цей випадок я маю для вас готовий промт, який ви можете собі скопіювати і вставити для свого чату.
61240	62000	Зараз зачитаю.
62540	67200	Ти досвідчений викладач англійської мови. Допоможи визначити мій рівень англійської.
67720	72800	Створи серію завдань, які перевіряють лексику, граматику, розуміння тексту, говоріння.
73280	75800	Іди покроково, поступово ускладнюючи.
76140	79400	Після моїх відповідей поясній, що це означає для мого рівня.
79400	80940	І скажи, який він.
80940	86720	І через 20-30 хвилин у вас з'явиться реальне розуміння, де ви зараз є і куди вам потрібно рухатись далі.
86960	91260	І далі ще один критично важливий момент, яку помилку я бачу постійно,
91820	95800	що люди відкривають дуже багато чатів і намагаються в них навчатися.
96420	102580	Але дуже важливо відкривати лише один чат і навчатися саме в ньому.
102580	106540	Бо тоді ось цей чат, він запам'ятовує все про вас.
106800	114100	Які помилки ви робили, що ви не так говорили, що ви вже проходили, що потрібно, знаєте, ще раз закріпити.
114580	120580	А коли ви відкриваєте нові чати, ця пам'ять не зберігається і ви нібито заново проходите те саме.
120580	125460	Тому фіксуємо один чат, один викладач.
125840	127380	Ну що ж, тепер наш другий крок.
127480	132560	Зараз ми будемо створювати з вами того самого викладача, який буде нас навчати.
133200	134900	І давайте зачитаємо цей промт.
135180	136660	Ви його зможете скопіювати потім.
137400	140080	Я вивчаю англійську мову, мій рівень, а один.
140220	141740	Тут ви можете вставити свій рівень.
142300	144080	Навчай мене як терплячий викладач.
144240	149300	Від простого до складного, короткими кроками, з постійним повторенням, без перевантаження.
149300	151680	Працюй зі мною в одному чаті.
152040	153940	Запам'ятовуй мої типові помилки.
154440	155920	Повертайся до них пізніше.
156400	160260	Спочатку поясній, потім давай практику, потім повторюй.
160580	162500	Говори просто і зрозуміло.
163440	166380	І оцим кроком ви робите реально дуже важливу річ.
166480	169920	Ви не просто відкриваєте там рандомний чат, ще один.
169920	173900	Ви робите свого постійного, стабільного викладача.
174560	176800	Ну от ви вже створили свого викладача.
177160	178240	Ви їм дали ціль.
178240	180640	Зараз давайте будемо йти до практики.
182060	185960	Наступним кроком нам потрібно отримати від нього певені готові фрази,
186460	188040	які відповідають нашому рівню.
188320	189400	Що ми йому пишемо?
190740	193900	Дай мені 10 дуже простих англійських фраз для рівня А1
193900	196360	на тему знайомства без граматичних пояснень.
196740	199180	Дивіться, тут ви можете замінити і рівень,
199760	202120	і тему, на яку ви хочете отримати ці фрази.
202200	204240	Але загалом, я думаю, логіка зрозуміла.
204720	206440	І дивіться, що він нам буде надсилати.
206440	207820	Я вам додам тут скріншот.
208340	209580	Ось він прямо надсилає.
209840	213280	Добре, ось десь є дуже простих фраз для рівня А1 на тему знайомства.
214720	215800	І йде перелік там.
215880	217620	Hello, hi, my name is Anna.
218060	218640	І так далі.
218640	221700	В принципі, він свою роботу зробив.
221780	225240	Він надіслав вам не просто слова, а цілі такі готові фрази.
226180	231220	А я думаю, що ви маєте вже знати, що англійську реально потрібно вчити не окремими словами,
231380	233940	а готовими мовними шматочками.
233940	238180	Наступним етапом у нас буде слухання і промт для слухання.
238900	241880	Прочитай ці фрази у голос повільна.
242160	243860	І зараз я покажу вам, як це працює.
243860	250000	Я зараз прочитаю їх чітко і повільно, щоб тобі було легко повторювати.
250380	250880	Готови?
251400	251900	Поїхали.
252520	252960	Перше.
253320	253640	Hello.
254220	254620	Друге.
254900	255220	Hi.
255760	256180	Третє.
256500	257520	My name is Anna.
257980	258500	Шетверте.
258760	259500	I am Anna.
259940	260360	П'яте.
260700	261580	What is your name?
262000	262460	Шосте.
262820	263700	Nice to meet you.
264160	264440	Сьоме.
264760	265800	I am from Ukraine.
266280	266760	Восьме.
267080	267880	Where are you from?
268360	268880	Дев'яте.
269140	269800	How are you?
270300	270800	Десяте.
271140	271820	I am fine.
272320	273700	Повторю, скільки потрібно.
273860	275620	Якщо треба, скажи йому ще.
276620	277280	Ось так.
277840	278920	Дивіться, що тут важливо.
279080	280700	Ви можете слухати це не один раз.
280800	283360	Вірніше, я вам реально раджу слухати це не один раз.
283800	284160	Для чого?
284260	289520	Для того, щоб ви будете фіксувати це в голові, ваш мозок буде це краще опрацьовувати.
290000	293300	І зможе потім це впізнавати в реальній мові, в реальній живій мові.
293820	299700	І також зможе потім вам підкидати варіанти цих фраз, коли ви самі будете спілкуватися англійською.
299820	301680	Тому слухайте якнайбільше.
301680	312720	До речі, стосовно того, як це все послухати, я додам зараз ось тут такий скріншот, на що потрібно натиснути, щоб озвучити те, що було написано.
313260	315280	Наступним кроком у нас буде читання.
315820	320920	І не якесь радовне читання, а читання саме того, з чим ви щойно працювали.
320920	332440	Тобто ми будемо ще раз відшліфовувати ті фрази і вирази, які ви і читали, і чули вже щойно, і який у нас буде пром для цього.
332840	333200	Дивіться.
333200	340180	Створим монолог, історію, текст для читання з пяти-шести речень для рівня А1 з цими фразами.
340660	349680	Це має звучати як жива мова, один абзац, речення логічно пов'язані, без списку і без окремих фраз, щоб можна було сказати на одному диханні.
349680	353780	І зараз я вам покажу, що він мені створив.
354420	356980	Ось тут додаю такий скріншот його відповіді.
356980	358360	І що робити з цим?
358800	361360	Ви можете прочитати цим голос собі.
362480	364040	Можна не один раз навіть.
364380	370020	Можна попросити його знову це озвучити через ту кнопочку, яку я вам вже показувала.
370520	377100	І що тут важливо, що ваш мозок сприймає те, що він десь уже раніше чув, і він починає це пригадувати.
377100	380360	І в цей момент ви реально навчаєтеся.
380840	388160	І от зараз ми будемо переходити до граматики, але я не буду його зараз просити, щоб він мені написав правила використання.
388280	390920	Я його попросу, щоб він мені просто це пояснив.
391480	393440	І дивіться, що ми можемо йому написати.
395420	396960	Поясни. Дуже просто.
397280	398680	Що означає I am?
399020	401900	Без граматичних термінів і складних пояснень.
403080	404820	Дивіться, що він мені відповідає.
404820	411920	I am, я є, це те, що ти кажеш про себе, коли ти хочеш сказати, хто ти, який ти, як ти себе почуваєш.
412380	413460	Ти починаєш з I am.
413920	415380	І приклади життя далі йдуть.
415500	420580	Як на мене, пояснення супер, тут немає складних термінів, тут немає якихось правил, немає часів.
421120	425840	Просто логічно, зрозуміло і на початках, типу, просто чудово.
426740	430480	Звісно, що якщо це інший якесь рівень, то це вже буде трішки ускладнено.
430480	433880	В промтах ви це все побачите, але на зараз логіка така.
433880	437060	Ну що ж, а зараз буде мій улюблений етап.
437500	440800	Етап, коли ми починаємо говорити з нашим чатом.
441400	445800	Знову ж таки, через ось цю кнопочку ми маємо перейти в режим розмови з ним.
446500	448380	І що ми кажемо?
448380	454980	Давай зараз з тобою зробимо простий діалог аналізькою мовою для рівня А1.
455700	459840	Ти нова для мене людина і задавай мені прості питання по черзі.
461560	463180	Звісно, все гаразд.
463540	467340	Починаємо простий діалог і я ставлю питання по черзі.
467860	468760	Перше питання.
468760	471620	Як тебе звати?
472100	474440	Моє названня є Анастасія.
474440	478620	Звісно, що ти відбуваєшся, Анастасія.
479140	480280	Десь ти відбуваєшся?
480840	483700	Я відбуваюся від України.
485440	486440	Це великі.
486900	489340	Чого ти хочеш робити в вашій часі?
490440	494040	Я вважаюся кікування і тренування.
494040	518720	Ось, приблизно це відбувається якось так.
519180	522200	Дивіться, якщо на якомусь етапі він щось не так буде говорити,
522200	525420	то ви можете просто йому дати якесь уточнення стосовно цього
525420	528080	або ж, щоб він розбивав питання по черзі,
528140	531200	бо він інколи може видати їх прямо списком цілим.
532400	534920	Але загалом, дивіться, як льово будується розмова,
535340	538720	ви ще можете попросити, наприклад, його перекладати кожне питання
538720	543040	або ж підмічати якісь ваші помилки, коли ви відповідаєте.
543260	544660	Тому користуйтеся.
545300	547200	І після цього ми будемо тренувати письмо.
547920	549140	Так-так, вам не почулося.
549140	550620	Я завжди говорю всім.
551400	553940	Чим більше ви пишете, тим краще ви говорите.
554120	555840	Тому тримайте пром для письма.
557760	562560	Допоможи мені написати три прості речення про себе англійською для рівня А1.
562860	565500	Зараз я покажу вам, що він мені відповів, тому дивіться.
565760	566080	Додаю.
566080	571240	Перший, він написав мені шаблони, які я можу використати.
571620	575780	І далі він дає, типу, твій хід, тобто, щоб ви йому написали ці три речення.
576440	579260	У цьому випадку, коли ви будете писати йому свої речення,
579380	581700	він буде вас виправляти, якщо щось буде не так,
581760	585060	або ж, навпаки, вас хвалити, якщо ви все написали коректно.
585060	587080	І зараз дуже важливий нюанс.
587500	591660	Після кожного заняття ви маєте зафіксувати свій прогрес.
591840	596160	Ви маєте допомогти цій машині зафіксувати все те, що йому сталося.
596760	598720	Що ви йому пропишете. Також промт.
600420	605360	Зроби коротке резюме уроку, що ми пройшли, які помилки повторюються,
605520	607240	щоб повторити наступного разу.
607940	608980	Не більше ста слів.
609420	613060	Дивіться, ви це все можете вставити і на кінці цього уроку,
613060	617360	і на початку наступного, для того, щоб ви, справді, не забували,
617480	619700	що ви вже прийшли і могли звертати увагу на те,
619760	621740	на чим вам краще треба попрацювати.
622060	624560	А зараз буде дуже логічне запитання, певно, від вас.
624680	627680	Окей, я ось сьогодні потренувалася, а що мені робити далі?
627740	629320	Як самостійно це все робити?
630340	633560	А я вам скажу, вам не потрібно вигадувати велосипед,
633620	635080	бо я вже за вас його вигадала.
636080	638180	Вам потрібно просто скопіювати цей промт
638180	641360	і далі рухатися по нашій вже створеній сці роудмеп.
641360	642680	Дивіться, який промт.
643060	646700	Проведи щоденний урок англійської для рівня А1.
647180	648780	Один урок – один день.
649180	650420	Працюй поетапно.
651020	652660	Почни з короткого повторення того,
652860	653940	щоб ми вже проходили.
654200	655140	Дві-три хвилини.
655760	659000	У повторенні використовуй ті самі слова і конструкції,
659160	659820	що і раніше.
660220	662940	Після кожного кроку зупиняйся і чекай мого далі.
662940	664780	Структура уроку.
664780	666180	Коротке повторення.
666500	668280	Коротке пояснення нової теми.
668280	670160	Вісім-десять простих фраз.
670720	672020	Прочитай їх в голос.
672460	673880	Короткий зв'язний текст.
674340	676560	Просте пояснення сенсу конструкцій.
677020	677940	Короткий діалог.
678380	679480	Три речення письма.
680020	682180	Говори просто і не перевантажуй.
682380	683180	І на цьому все.
683320	686200	ЧАДЖПТ буде вести вас далі як реальний викладач.
686620	687880	Це просто магія, вважаю.
687880	691900	І стосовно оцих от промтів.
692500	695100	Вони написані під загальну систему навчання.
695220	697860	Якщо вам потрібна якась конкретна тема
697860	701500	або конкретно розглянути якусь граматичну структуру і так далі,
701580	703420	ви це, звісно, що можете коригувати.
704620	705540	Тому адаптовуйте.
706020	707860	ЧАДЖПТ – це не репетитор.
708740	711700	Але з кльово випудованою системою
711700	713780	ви зможете створити з нього
713780	716540	реально працюючий тренажер.
717880	720820	Тому тут головне – створити ось цю саме систему,
721600	722860	щоб це було не хаотично,
723640	725840	а отак розібрано, як ми сьогодні розібрали.
725940	728580	Бо саме так наш мозок засвоює всі матеріали.
729140	732380	Тож, якщо вам було корисно, цікаво, сподобалося,
732660	734200	дуже буду вдячна за підтримку.
734320	738020	Ставте лайк, коментар, підписуйтеся.
738900	739980	Ну, от я це вже говорила.
740740	742740	І хочу нагадати, що під цим відео
742740	744100	у закріпленому коментарі
744100	747660	ви побачите посилання на мій телеграм-канал
747660	751340	де будуть зібрані всі промти для кожного рівня.
751600	752280	Па-па!
